Story,Tag,Count,Density per 1000 words
judge,amb,21,2.62
judge,atmosphere,4,0.5
judge,"type=\""withheld-info\",8,1.0
judge,"type=\""foreshadowing\",1,0.12
judge,"type=\""cliffhanger\",2,0.25
monkey,amb,6,1.45
monkey,atmosphere,3,0.72
monkey,"type=\""withheld-info\",6,1.45
monkey,"type=\""foreshadowing\",5,1.21
monkey,"type=\""cliffhanger\",2,0.48
signal,amb,24,4.56
signal,atmosphere,4,0.76
signal,"type=\""withheld-info\",7,1.33
signal,"type=\""foreshadowing\",5,0.95
signal,"type=\""cliffhanger\",1,0.19
usher,amb,48,6.44
usher,atmosphere,16,2.15
usher,"type=\""withheld-info\",10,1.34
usher,"type=\""foreshadowing\",9,1.21
usher,"type=\""cliffhanger\",3,0.4
